epoch,classification_output_accuracy,classification_output_loss,loss,lr,segmentation_output_accuracy,segmentation_output_loss,val_classification_output_accuracy,val_classification_output_loss,val_loss,val_segmentation_output_accuracy,val_segmentation_output_loss
0,0.990663,0.027554112,0.1400097537459388,1e-04,0.95890945,0.11245577,0.9223940372467041,0.464850515127182,0.10125652700662613,0.9545837044715881,0.13069449365139008
1,0.98983586,0.028144127,0.14110058620515203,1e-04,0.9587503,0.11295644,0.9203894734382629,0.41542184352874756,0.17553550004959106,0.9529993534088135,0.13061757385730743
2,0.99007446,0.028005863,0.14070797559157608,1e-04,0.95890796,0.11270197,0.9264032244682312,0.42114734649658203,0.19024360179901123,0.9538177251815796,0.13269230723381042
3,0.99109244,0.025619496,0.13716842934110962,1e-04,0.95912564,0.11154897,0.9262599945068359,0.47658881545066833,0.11326292902231216,0.9547737836837769,0.13024598360061646
4,0.9924922,0.022258181,0.13292962044127618,1e-04,0.9595407,0.11067164,0.9203894734382629,0.48137521743774414,0.2023707926273346,0.9531664252281189,0.1303281933069229
5,0.9923968,0.021394955,0.1312128270031057,1e-04,0.95981795,0.10981785,0.9296964406967163,0.6401132345199585,0.1267111450433731,0.9553579688072205,0.1277521252632141
6,0.99311256,0.019778652,0.1282406595584818,1e-04,0.96022975,0.108462036,0.9241122603416443,0.4817662835121155,0.781940758228302,0.9561483263969421,0.12458889186382294
7,0.9939556,0.018440623,0.12486845669166849,1e-04,0.9608748,0.10642779,0.9308419227600098,0.5206150412559509,1.1713731288909912,0.955309271812439,0.1265174150466919
8,0.99333525,0.018458826,0.12384802014727837,1e-04,0.96114415,0.10538917,0.9268327355384827,0.46753212809562683,0.7074258923530579,0.9548653364181519,0.12666644155979156
9,0.99413055,0.016649883,0.12110806548213157,1e-04,0.9614396,0.10445825,0.913802981376648,0.47480151057243347,0.7173025608062744,0.9562934637069702,0.1247795894742012
